,date,lien pdf
magazine 1,1984-02,https://archive.org/download/crash-magazine-01/Crash_01_Feb_1984.pdf
magazine 2,1984-03,https://archive.org/download/crash-magazine-02/Crash_02_Mar_1984.pdf
magazine 3,1984-04,https://archive.org/download/crash-magazine-03/Crash_03_Apr_1984.pdf
magazine 4,1984-05,https://archive.org/download/crash-magazine-04/Crash_04_May_1984.pdf
magazine 5,1984-06,https://archive.org/download/crash-magazine-05/Crash_05_Jun_1984.pdf
magazine 6,1984-07,https://archive.org/download/crash-magazine-06/Crash_06_Jul_1984.pdf
magazine 7,1984-08,https://archive.org/download/crash-magazine-07/Crash_07_Aug_1984.pdf
magazine 8,1984-09,https://archive.org/download/crash-magazine-08/Crash_08_Sep_1984.pdf
magazine 9,1984-10,https://archive.org/download/crash-magazine-09/Crash_09_Oct_1984.pdf
magazine 10,1984-11,https://archive.org/download/crash-magazine-10/Crash_10_Nov_1984.pdf
magazine 11,1984-12,https://archive.org/download/crash-magazine-11/Crash_11_Dec_1984.pdf
magazine 12,1985-01,https://archive.org/download/crash-magazine-12/Crash_12_Jan_1985.pdf
magazine 13,1985-02,https://archive.org/download/crash-magazine-13/Crash_13_Feb_1985.pdf
magazine 14,1985-03,https://archive.org/download/crash-magazine-14/Crash_14_Mar_1985.pdf
magazine 15,1985-04,https://archive.org/download/crash-magazine-15/Crash_15_Apr_1985.pdf
magazine 16,1985-05,https://archive.org/download/crash-magazine-16/Crash_16_May_1985.pdf
magazine 17,1985-06,https://archive.org/download/crash-magazine-17/Crash_17_Jun_1985.pdf
magazine 18,1985-07,https://archive.org/download/crash-magazine-18/Crash_18_Jul_1985.pdf
magazine 19,1985-08,https://archive.org/download/crash-magazine-19/Crash_19_Aug_1985.pdf
magazine 20,1985-09,https://archive.org/download/crash-magazine-20/Crash_20_Sep_1985.pdf
